employeeID,username,password,role
10001,Manuel,10001,admin
10002,Antonio,10002,admin
10003,Bianca Sofia,10003,admin
10004,Isabella,10004,admin
10005,Eduard,10005,admin
10006,Andrea Mae,10006,admin
10007,Brad,10007,employee
10008,Alice,10008,employee
10009,Rosie,10009,employee
10010,Roderick,10010,admin
10011,Anthony,10011,employee
10012,Josie,10012,employee
10013,Martha,10013,employee
10014,Leila,10014,employee
10015,Fredrick,10015,admin
10016,Christian,10016,employee
10017,Selena,10017,employee
10018,Allison,10018,employee
10019,Cydney,10019,employee
10020,Mark,10020,employee
10021,Darlene,10021,employee
10022,Kolby,10022,employee
10023,Vella,10023,employee
10024,Tomas,10024,employee
10025,Jacklyn,10025,employee
10026,Percival,10026,employee
10027,Garfield,10027,employee
10028,Lizeth,10028,employee
10029,Carol,10029,employee
10030,Emelia,10030,employee
10031,Delia,10031,employee
10032,John Rafael,10032,employee
10033,Carlos Ian,10033,employee
10034,Beatriz,10034,employee
